046bdf85e15d | 2025-08-10 16:56:47.100 | info | UP migrations completed successfully
046bdf85e15d | 2025-08-10 16:56:47.102 | info | Final migration version: 23 (dirty: false)
046bdf85e15d | 2025-08-10 16:56:47.102 | info | Migration service completed in 376ms
a4d4784e6769 | 2025-08-10 17:02:01.118 | info | Starting database migration service
a4d4784e6769 | 2025-08-10 17:02:01.119 | info | Migration command: up
a4d4784e6769 | 2025-08-10 17:02:01.119 | info | Connecting to database: postgres:5432/mydb
a4d4784e6769 | 2025-08-10 17:02:01.134 | info | Database connection established
a4d4784e6769 | 2025-08-10 17:02:01.151 | info | Database has no migrations applied yet
a4d4784e6769 | 2025-08-10 17:02:01.152 | info | Running UP migrations...
a4d4784e6769 | 2025-08-10 17:02:01.480 | info | UP migrations completed successfully
a4d4784e6769 | 2025-08-10 17:02:01.482 | info | Final migration version: 23 (dirty: false)
a4d4784e6769 | 2025-08-10 17:02:01.482 | info | Migration service completed in 363ms
e4a180ef5bea | 2025-08-10 17:02:31.422 | info | Starting database migration service
e4a180ef5bea | 2025-08-10 17:02:31.422 | info | Migration command: up
e4a180ef5bea | 2025-08-10 17:02:31.422 | info | Connecting to database: postgres:5432/mydb
e4a180ef5bea | 2025-08-10 17:02:31.437 | info | Database connection established
e4a180ef5bea | 2025-08-10 17:02:31.461 | info | Database has no migrations applied yet
e4a180ef5bea | 2025-08-10 17:02:31.461 | info | Running UP migrations...
e4a180ef5bea | 2025-08-10 17:02:31.842 | info | UP migrations completed successfully
e4a180ef5bea | 2025-08-10 17:02:31.843 | info | Final migration version: 23 (dirty: false)
e4a180ef5bea | 2025-08-10 17:02:31.843 | info | Migration service completed in 420ms
cb09b7ab21e5 | 2025-08-10 17:10:20.612 | info | Starting database migration service
cb09b7ab21e5 | 2025-08-10 17:10:20.612 | info | Migration command: up
cb09b7ab21e5 | 2025-08-10 17:10:20.612 | info | Connecting to database: postgres:5432/mydb
cb09b7ab21e5 | 2025-08-10 17:10:20.637 | info | Database connection established
cb09b7ab21e5 | 2025-08-10 17:10:20.684 | info | Database has no migrations applied yet
cb09b7ab21e5 | 2025-08-10 17:10:20.684 | info | Running UP migrations...
cb09b7ab21e5 | 2025-08-10 17:10:21.077 | info | UP migrations completed successfully
cb09b7ab21e5 | 2025-08-10 17:10:21.078 | info | Final migration version: 23 (dirty: false)
cb09b7ab21e5 | 2025-08-10 17:10:21.078 | info | Migration service completed in 466ms
83ec68274b5d | 2025-08-10 17:12:54.110 | info | Starting database migration service
83ec68274b5d | 2025-08-10 17:12:54.110 | info | Migration command: up
83ec68274b5d | 2025-08-10 17:12:54.110 | info | Connecting to database: postgres:5432/mydb
83ec68274b5d | 2025-08-10 17:12:54.151 | info | Database connection established
83ec68274b5d | 2025-08-10 17:12:54.182 | info | Database has no migrations applied yet
83ec68274b5d | 2025-08-10 17:12:54.182 | info | Running UP migrations...
83ec68274b5d | 2025-08-10 17:12:54.470 | info | UP migrations completed successfully
83ec68274b5d | 2025-08-10 17:12:54.471 | info | Final migration version: 23 (dirty: false)
83ec68274b5d | 2025-08-10 17:12:54.471 | info | Migration service completed in 360ms
c9501c3f88b8 | 2025-08-10 17:22:09.357 | info | Starting database migration service
c9501c3f88b8 | 2025-08-10 17:22:09.357 | info | Migration command: up
c9501c3f88b8 | 2025-08-10 17:22:09.357 | info | Connecting to database: postgres:5432/mydb
c9501c3f88b8 | 2025-08-10 17:22:09.380 | info | Database connection established
c9501c3f88b8 | 2025-08-10 17:22:09.404 | info | Database has no migrations applied yet
c9501c3f88b8 | 2025-08-10 17:22:09.404 | info | Running UP migrations...
c9501c3f88b8 | 2025-08-10 17:22:09.680 | info | UP migrations completed successfully
c9501c3f88b8 | 2025-08-10 17:22:09.681 | info | Final migration version: 23 (dirty: false)
